Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
3320	-40.01489	-42.03736	2.022465	0.0664906	0.170784
3330	-42.5677	-43.33446	0.7667541	0.244966	0.0869438
3340	-39.94029	-42.28756	2.347272	0.0618498	0.150946
3350	-45.83745	-47.72282	1.885371	0.239418	0.0081886
3360	-40.06372	-42.2821	2.218378	0.0764334	0.146076
3370	-40.05206	-42.32952	2.27746	0.0453627	0.172695
3380	-42.08388	-41.81257	-0.271308	0.138739	0.271403
3390	-41.19133	-43.01881	1.827477	0.131392	0.120578
3400	-40.98783	-41.63988	0.6520445	0.153182	0.187372
3410	-40.50849	-42.08914	1.580651	0.11721	0.153361
3420	-44.6484	-42.21343	-2.434969	0.218294	0.354909
3430	-40.58935	-42.76689	2.177541	0.0314934	0.194094
3440	-41.42348	-43.12899	1.705505	0.144255	0.116907
3450	-44.42497	-42.16822	-2.25675	0.211891	0.347881
3460	-40.35535	-43.24997	2.894615	0.017792	0.153754
3470	-44.34453	-46.33468	1.99015	0.220792	0.018918
3480	-40.595	-41.95328	1.35828	0.126155	0.161175
3490	-40.53803	-42.57001	2.031978	0.103331	0.133227
3500	-40.3204	-42.41913	2.098731	0.0929823	0.138545
3510	-40.80627	-41.79437	0.9880977	0.142612	0.172617
3520	-40.98568	-41.58915	0.6034731	0.122657	0.221558
3530	-40.15517	-42.44702	2.291849	0.0787223	0.13825
3540	-40.4814	-41.74987	1.268468	0.11737	0.176728
3550	-39.99033	-42.14694	2.156612	0.0714174	0.155747
3560	-41.97669	-41.46583	-0.5108587	0.201853	0.226342
3570	-40.19708	-42.75029	2.55321	0.0690359	0.12824
3580	-42.13874	-43.11963	0.9808978	0.21574	0.10003
3590	-40.52728	-41.67909	1.15181	0.117941	0.184949
3600	-41.85278	-45.30926	3.456483	0.0478997	0.081302
3610	-40.25749	-41.79179	1.534295	0.087308	0.186757
3620	-40.46323	-43.43782	2.97459	0.0148318	0.150687
3630	-40.14355	-42.18666	2.04311	0.0863318	0.149387
3640	-40.88244	-41.73445	0.8520053	0.101644	0.223841
3650	-42.41161	-41.59002	-0.8215875	0.180388	0.271224
3660	-42.65376	-42.663	0.009238927	0.263169	0.12583
3670	-41.40635	-42.53689	1.130547	0.169998	0.134495
3680	-39.97823	-42.67226	2.694026	0.0508033	0.13586
3690	-40.12722	-41.8982	1.770978	0.0767117	0.179516
3700	-41.05826	-41.59004	0.5317823	0.12449	0.225128
3710	-40.06047	-42.21318	2.152713	0.0514617	0.175997
3720	-41.83513	-42.34935	0.5142228	0.0863939	0.264547
3730	-41.82473	-41.59548	-0.2292498	0.152449	0.254523
3740	-40.94399	-41.9952	1.051205	0.150586	0.159887
3750	-40.9165	-42.57253	1.656031	0.130763	0.134127
3760	-41.71478	-44.1832	2.468421	0.107462	0.0962038
3770	-42.23381	-43.68258	1.44877	0.199355	0.0811551
3780	-40.01325	-42.72191	2.708657	0.0323506	0.15321
3790	-41.10832	-42.67133	1.563007	0.140986	0.130915
3800	-40.63051	-41.62002	0.989516	0.113354	0.201767
3810	-43.3137	-44.60662	1.292912	0.247584	0.0446721
3820	-40.27221	-42.1146	1.842387	0.0581037	0.192742
3830	-42.24865	-41.46101	-0.7876423	0.21235	0.236705
3840	-40.00668	-42.54206	2.535377	0.0608782	0.137741
3850	-42.01839	-42.61199	0.5935937	0.076244	0.268716
3860	-41.80421	-42.34604	0.541834	0.20856	0.140301
3870	-42.16146	-42.20749	0.04603121	0.236175	0.15005
3880	-41.12038	-41.54425	0.4238729	0.134332	0.223419
3890	-43.26355	-43.44437	0.1808235	0.285338	0.0907296
3900	-40.29611	-43.5067	3.210593	0.0314327	0.1163
3910	-41.08172	-41.55955	0.4778318	0.155233	0.19845
3920	-40.79253	-42.06282	1.270296	0.13834	0.155621
3930	-40.60843	-43.12102	2.512593	0.0832087	0.117128
3940	-42.24576	-45.58777	3.342015	0.0601391	0.0776893
3950	-41.80935	-41.68691	-0.1224438	0.140417	0.258505
3960	-40.23699	-43.14092	2.903935	0.0205771	0.150267
3970	-41.02888	-42.59718	1.5683	0.138086	0.133416
3980	-39.98587	-42.79807	2.8122	0.0333369	0.14442
3990	-42.37527	-42.37404	-0.001228459	0.104418	0.285369
4000	-45.28103	-43.60899	-1.672039	0.135632	0.380074
4010	-41.77586	-41.47446	-0.3014015	0.192348	0.220062
4020	-41.02538	-41.68589	0.660514	0.157197	0.182719
4030	-40.74042	-42.9201	2.179674	0.102733	0.122694
4040	-40.16874	-43.27481	3.106067	0.0241083	0.131502
4050	-40.54013	-43.46478	2.924647	0.0140516	0.155231
4060	-41.0648	-43.66414	2.599338	0.0884001	0.105399
4070	-40.96056	-41.62716	0.6665924	0.116354	0.223104
4080	-40.80391	-43.29396	2.490052	0.0889153	0.11312
