Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
397	1	-42.00525	-42.77123	0.7659777	0.214735	0.117233
398	0	-40.14079	-43.20118	3.060388	0.0245158	0.134537
399	1	-40.72873	-41.69377	0.9650386	0.135619	0.181347
400	0	-41.35275	-44.24884	2.896096	0.0763543	0.0950803
401	1	-42.2385	-43.97428	1.735778	0.178057	0.0808229
402	0	-40.13393	-42.7693	2.63537	0.0625134	0.12857
403	1	-41.44694	-41.47649	0.02955424	0.164264	0.223204
404	0	-42.37148	-44.65792	2.286438	0.133169	0.0842114
405	1	-42.37498	-44.93156	2.556583	0.113102	0.0839198
406	0	-40.41613	-42.04121	1.625079	0.111401	0.155822
407	1	-40.02501	-42.89839	2.873376	0.030041	0.143106
408	0	-43.38463	-46.18048	2.795851	0.000997437	0.177992
409	1	-41.95182	-42.03312	0.08129385	0.113686	0.269882
410	0	-42.74692	-45.52758	2.780654	0.103191	0.0769433
411	1	-42.07812	-41.89483	-0.1832897	0.23053	0.172978
412	0	-40.85487	-44.18893	3.334054	0.00871028	0.129718
413	1	-41.62758	-42.22417	0.5965902	0.197163	0.147571
414	0	-41.62934	-42.78661	1.157272	0.0544412	0.248037
415	1	-41.17799	-41.64518	0.4671868	0.120894	0.233592
416	0	-39.99113	-42.65878	2.667644	0.0345868	0.154065
417	1	-42.92999	-45.28158	2.351583	0.155381	0.0570898
418	0	-41.20429	-42.6609	1.456604	0.14881	0.131109
419	1	-40.60612	-41.63338	1.027265	0.120938	0.191338
420	0	-41.23518	-41.6395	0.4043204	0.170764	0.18846
421	1	-42.08727	-43.28398	1.196706	0.203459	0.0960472
422	0	-40.86716	-43.56285	2.69569	0.0792559	0.107282
423	1	-40.8426	-42.72594	1.883346	0.0376066	0.210152
424	0	-42.07668	-41.64055	-0.4361208	0.224489	0.198074
425	1	-41.51968	-41.79662	0.2769413	0.193056	0.175768
426	0	-42.83422	-44.62861	1.794395	0.206068	0.0483944
427	1	-40.10414	-42.40065	2.296505	0.0760766	0.140545
428	0	-42.29421	-43.87877	1.584566	0.025092	0.245184
429	1	-42.29286	-42.90293	0.6100694	0.235356	0.108362
430	0	-40.65027	-42.51272	1.862442	0.11378	0.135554
431	1	-40.42184	-42.49323	2.071393	0.0402613	0.193326
